tile,baseline,ours,delta,changed_pct,fixed,broke,newly_discarded,all_discarded
baseballdiamond19,14.43,21.98,7.55,73.3,31283,1020,16140,0
baseballdiamond20,34.63,37.53,2.9,31.62,10049,1283,9453,0
baseballdiamond21,0.7,1.2,0.5,41.87,1632,474,2059,0
baseballdiamond22,10.51,25.38,14.87,59.83,37393,101,973,0
baseballdiamond23,20.09,38.66,18.57,69.52,41661,6,1185,0
baseballdiamond24,27.42,57.15,29.73,61.17,39180,0,186,0
baseballdiamond25,18.66,27.43,8.76,45.67,27323,317,1927,0
baseballdiamond26,27.33,49.95,22.62,74.4,45634,177,2146,0
baseballdiamond27,26.41,41.55,15.14,70.82,45502,56,823,0
baseballdiamond28,29.75,31.31,1.56,32.52,15626,436,3653,0
baseballdiamond29,33.17,37.12,3.96,15.47,6972,49,2899,0
baseballdiamond30,12.01,11.83,-0.17,23.19,1,30,3012,0
baseballdiamond31,6.99,36.3,29.31,85.1,42408,127,12033,0
baseballdiamond32,12.29,24.05,11.75,65.68,40156,136,2499,0
baseballdiamond33,3.36,32.99,29.63,74.76,47539,322,864,0
baseballdiamond34,7.57,20.47,12.9,69.73,44233,72,1339,0
baseballdiamond35,26.34,41.43,15.09,57.52,33619,795,3733,0
baseballdiamond36,10.53,28.28,17.74,72.42,41569,469,5215,0
baseballdiamond37,29.98,41.07,11.09,72.28,36414,3759,10699,0
baseballdiamond38,12.31,31.28,18.96,85.73,38205,253,15560,0
baseballdiamond39,14.3,27.11,12.81,68.2,38348,1220,2447,0
baseballdiamond40,37.84,56.36,18.52,59.66,34088,916,4324,0
baseballdiamond41,11.34,22.1,10.75,75.35,41219,656,7404,0
baseballdiamond42,0.0,18.32,18.32,79.81,47580,3,4185,0
baseballdiamond43,2.78,17.4,14.62,88.81,38216,4939,19482,0
baseballdiamond44,31.42,49.06,17.64,63.03,36046,1642,4338,0
baseballdiamond45,12.64,35.64,23.0,58.58,33335,2698,2379,0
baseballdiamond46,24.57,33.01,8.44,61.02,34510,2380,2572,0
baseballdiamond47,43.99,61.3,17.31,48.7,26292,2229,5179,0
baseballdiamond48,12.45,19.48,7.03,29.5,13072,469,4732,0
baseballdiamond49,31.54,44.58,13.05,59.2,31085,2038,5601,0
baseballdiamond50,27.2,38.03,10.83,59.46,32326,1679,6259,0
baseballdiamond51,16.15,38.52,22.37,62.68,36663,1093,4208,0
baseballdiamond52,33.13,43.2,10.06,54.17,32484,610,2712,0
baseballdiamond53,10.13,27.38,17.24,77.06,43331,1424,6285,0
baseballdiamond54,16.61,28.86,12.24,58.44,30659,1007,6690,0
baseballdiamond55,42.44,43.56,1.12,57.43,30137,448,3664,0
baseballdiamond56,23.47,29.37,5.89,72.13,32554,778,2309,0
baseballdiamond57,8.63,13.14,4.51,68.52,19867,524,540,0
baseballdiamond58,16.76,28.39,11.63,79.71,35993,4637,12138,0
baseballdiamond59,18.27,21.15,2.88,27.78,12236,33,5281,0
baseballdiamond60,25.38,29.37,4.0,45.94,24057,2835,1720,0
baseballdiamond61,26.4,35.27,8.87,60.31,34840,2166,1703,0
baseballdiamond62,25.2,15.19,-10.01,53.65,10142,6315,220,0
baseballdiamond63,8.46,17.53,9.07,39.27,20286,288,4476,0
baseballdiamond64,16.56,32.94,16.38,77.07,32226,1414,5966,0
